country_name;iso_code;income_group;continent;region;ed_expenditure;mig_rate;youth_unempl_rate
Afghanistan;AFG;Low income;Asia;Southern Asia;4,1;-0,1;17,6
Albania;ALB;Upper middle income;Europe;Southern Europe;3,6;-3,3;31,9
Andorra;AND;High income;Europe;Southern Europe;3,2;0;.
Angola;AGO;Lower middle income;Africa;Sub-Saharan Africa;3,4;-0,2;39,4
Argentina;ARG;Upper middle income;Americas;Latin America and the Caribbean;5,5;-0,1;23,7
Armenia;ARM;Upper middle income;Asia;Western Asia;2,7;-5,5;36,3
Aruba;ABW;High income;Americas;Latin America and the Caribbean;5,5;8,4;.
Australia;AUS;High income;Oceania;Australia and New Zealand;5,1;8,1;11,8
Austria;AUT;High income;Europe;Western Europe;5,4;3,6;9,4
Azerbaijan;AZE;Upper middle income;Asia;Western Asia;2,5;0;13,4
Bahrain;BHR;High income;Asia;Western Asia;2,3;10,6;5,3
Bangladesh;BGD;Lower middle income;Asia;Southern Asia;1,3;-3;12,8
Barbados;BRB;High income;Americas;Latin America and the Caribbean;4,4;-0,3;29,6
Belarus;BLR;Upper middle income;Europe;Eastern Europe;4,8;0,7;10,6
Belgium;BEL;High income;Europe;Western Europe;6,4;4,8;15,8
Belize;BLZ;Upper middle income;Americas;Latin America and the Caribbean;7,6;-1;15,3
Benin;BEN;Lower middle income;Africa;Sub-Saharan Africa;2,9;0,3;5,6
Bermuda;BMU;High income;Americas;Northern America;1,5;1,6;29,3
Bhutan;BTN;Lower middle income;Asia;Southern Asia;6,9;0;10,7
Bolivia;BOL;Lower middle income;Americas;Latin America and the Caribbean;7,3;-0,3;6,9
Brazil;BRA;Upper middle income;Americas;Latin America and the Caribbean;6,3;-0,1;28,5
British Virgin Islands;VGB;High income;Americas;Latin America and the Caribbean;2,5;15,5;.
Brunei;BRN;High income;Asia;South-eastern Asia;4,4;2,3;28,9
Bulgaria;BGR;High income;Europe;Eastern Europe;4,1;-0,3;12,7
Burkina Faso;BFA;Low income;Africa;Sub-Saharan Africa;5,4;-0,6;8,7
Burundi;BDI;Low income;Africa;Sub-Saharan Africa;5,1;-0,8;2,9
Cambodia;KHM;Lower middle income;Asia;South-eastern Asia;2,2;-0,3;1,1
Cameroon;CMR;Lower middle income;Africa;Sub-Saharan Africa;3,1;-0,3;6,3
Canada;CAN;High income;Americas;Northern America;5,3;5,6;11,1
Cape Verde;CPV;Upper middle income;Africa;Sub-Saharan Africa;5,2;-0,6;27,8
Central African Republic;CAF;Low income;Africa;Sub-Saharan Africa;1,2;0;.
Chad;TCD;Low income;Africa;Sub-Saharan Africa;2,5;-0,1;.
Chile;CHL;High income;Americas;Latin America and the Caribbean;5,4;0,3;18,1
